,ec_num,ph_min,ph_max,comments,organism,uniprot_id,ref,substrates,products,notes,reaction_type,substrates_rev,condition,to_fix,notes.1,subst_str,rxn_type_guess,all_substrates,name
4082,1.14.99.1,7.2,9,about 60% of maximum activity at pH 7.2 and 9.0 of prostaglandin D2 formation,Oryctolagus cuniculus,O02768,438389,{'arachidonic acid + reduced acceptor + O2'},{'prostaglandin H2 + acceptor + H2O'},"{'of prostaglandin D2 formation', 'formation of prostaglandin F2alpha', 'formation of prostaglandin E2 and D2'}",,,,,,{'arachidonic acid + reduced acceptor + O2'},oxidation_or_reduction,"{'reduced acceptor', 'O2', 'arachidonic acid'}",prostaglandin-endoperoxide synthase
3874,1.1.1.6,5.5,9,"pH 5.5: about 70% of maximal activity, pH 9.0: about 45% of maximal activity, reduction of dihydroxyacetone",Schizosaccharomyces pombe,O13702,636283,"{'glycerol + NAD+', 'ethanediol + NAD+', 'DL-glyceraldehyde + NAD+', 'methylglyoxal + NADH', '1,2-propanediol + NAD+', '1,2,3-butanetriol + NAD+', '1,2-butanediol + NAD+'}","{'1,3-dihydroxybutane-2-one + NADH', '3-hydroxypyruvaldehyde + NADH', 'dihydroxyacetone + NADH + H+', '1-hydroxybutane-2-one + NADH', 'hydroxyacetone + NADH', 'glycolaldehyde + NADH', 'lactaldehyde + NAD+'}",{'reduction of dihydroxyacetone'},reduction,dihydroxyacetone,,,,"{'glycerol + NAD+', 'ethanediol + NAD+', 'DL-glyceraldehyde + NAD+', 'methylglyoxal + NADH', '1,2-propanediol + NAD+', '1,2,3-butanetriol + NAD+', '1,2-butanediol + NAD+'}",oxidation_or_reduction,"{'1,2-butanediol', '1,2,3-butanetriol', 'DL-glyceraldehyde', '1,2-propanediol', 'ethanediol', 'glycerol', 'methylglyoxal', 'NADH', 'NAD+'}",glycerol dehydrogenase
3875,1.1.1.6,9.0,12,"pH 9.0: about 45% of maximal activity, pH 11-12: maximal activity, oxidation of glycerol",Schizosaccharomyces pombe,O13702,636283,"{'glycerol + NAD+', 'ethanediol + NAD+', 'DL-glyceraldehyde + NAD+', 'methylglyoxal + NADH', '1,2-propanediol + NAD+', '1,2,3-butanetriol + NAD+', '1,2-butanediol + NAD+'}","{'1,3-dihydroxybutane-2-one + NADH', '3-hydroxypyruvaldehyde + NADH', 'dihydroxyacetone + NADH + H+', '1-hydroxybutane-2-one + NADH', 'hydroxyacetone + NADH', 'glycolaldehyde + NADH', 'lactaldehyde + NAD+'}",{'oxidation of glycerol'},oxidation,glycerol,,,,"{'glycerol + NAD+', 'ethanediol + NAD+', 'DL-glyceraldehyde + NAD+', 'methylglyoxal + NADH', '1,2-propanediol + NAD+', '1,2,3-butanetriol + NAD+', '1,2-butanediol + NAD+'}",oxidation_or_reduction,"{'1,2-butanediol', '1,2,3-butanetriol', 'DL-glyceraldehyde', '1,2-propanediol', 'ethanediol', 'glycerol', 'methylglyoxal', 'NADH', 'NAD+'}",glycerol dehydrogenase
4226,1.4.1.1,6.1,8.3,"pH 6.1: about 60% of maximal activity, pH 8.3: about 60% of maximal activity, reductive amination",Archaeoglobus fulgidus,O28608,655887,"{'L-Asp + H2O + NAD+', 'L-Ile + H2O + NAD+', '2-ketocaproate + NH3 + NADH', 'L-2-aminobutyrate + H2O + NAD+', 'L-Val + H2O + NAD+', 'L-Ser + H2O + NAD+', 'L-Ala + H2O + NAD+', 'phenylpyruvate + NH3 + NADH', 'L-Thr + H2O + NAD+', 'ketovalerate + NH3 + NADH'}","{'L-phenylalanine + H2O + NAD+', '2-aminovalerate + H2O + NAD+', 'pyruvate + NH3 + NADH', 'oxaloacetate + NH3 + NADH', '2-aminocaproate + H2O + NAD+', '3-methyl-2-oxobutanoate + NH3 + NADH', '2-oxo-3-methylpentanoate + NH3 + NADH', '3-hydroxy-2-oxobutyrate + NH3 + NADH', '2-oxobutyrate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}","{'reductive amination', 'oxidative deamination'}",reduction,,,,,"{'L-Asp + H2O + NAD+', 'L-Ile + H2O + NAD+', '2-ketocaproate + NH3 + NADH', 'L-2-aminobutyrate + H2O + NAD+', 'L-Val + H2O + NAD+', 'L-Ser + H2O + NAD+', 'L-Ala + H2O + NAD+', 'phenylpyruvate + NH3 + NADH', 'L-Thr + H2O + NAD+', 'ketovalerate + NH3 + NADH'}",oxidation_or_reduction,"{'phenylpyruvate', 'H2O', 'L-Ala', 'L-Ile', '2-ketocaproate', 'NH3', 'L-Ser', 'L-2-aminobutyrate', 'L-Thr', 'NADH', 'ketovalerate', 'L-Val', 'NAD+', 'L-Asp'}",alanine dehydrogenase
4227,1.4.1.1,6.2,8,"pH 6.2: about 50% of maximal activity, pH 8.0: about 70% of maximal activity, oxidative deamination",Archaeoglobus fulgidus,O28608,655887,"{'L-Asp + H2O + NAD+', 'L-Ile + H2O + NAD+', '2-ketocaproate + NH3 + NADH', 'L-2-aminobutyrate + H2O + NAD+', 'L-Val + H2O + NAD+', 'L-Ser + H2O + NAD+', 'L-Ala + H2O + NAD+', 'phenylpyruvate + NH3 + NADH', 'L-Thr + H2O + NAD+', 'ketovalerate + NH3 + NADH'}","{'L-phenylalanine + H2O + NAD+', '2-aminovalerate + H2O + NAD+', 'pyruvate + NH3 + NADH', 'oxaloacetate + NH3 + NADH', '2-aminocaproate + H2O + NAD+', '3-methyl-2-oxobutanoate + NH3 + NADH', '2-oxo-3-methylpentanoate + NH3 + NADH', '3-hydroxy-2-oxobutyrate + NH3 + NADH', '2-oxobutyrate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}","{'reductive amination', 'oxidative deamination'}",oxidation,,,,,"{'L-Asp + H2O + NAD+', 'L-Ile + H2O + NAD+', '2-ketocaproate + NH3 + NADH', 'L-2-aminobutyrate + H2O + NAD+', 'L-Val + H2O + NAD+', 'L-Ser + H2O + NAD+', 'L-Ala + H2O + NAD+', 'phenylpyruvate + NH3 + NADH', 'L-Thr + H2O + NAD+', 'ketovalerate + NH3 + NADH'}",oxidation_or_reduction,"{'phenylpyruvate', 'H2O', 'L-Ala', 'L-Ile', '2-ketocaproate', 'NH3', 'L-Ser', 'L-2-aminobutyrate', 'L-Thr', 'NADH', 'ketovalerate', 'L-Val', 'NAD+', 'L-Asp'}",alanine dehydrogenase
810,1.5.1.40,4.5,6.5,"pH 4.5: about 45% of maximal activity, pH 6.5: about 35% of maximal activity, reduction of oxidized coenzyme F420 with NADPH",Archaeoglobus fulgidus,O29370,724135,{'reduced coenzyme F420 + NADP+'},{'oxidized coenzyme F420 + NADPH + H+'},{'reduction of oxidized coenzyme F420 with NADPH'},reduction,reduced coenzyme F420 + NADP+,,,,{'reduced coenzyme F420 + NADP+'},oxidation,"{'NADP+', 'reduced coenzyme F420'}",8-hydroxy-5-deazaflavin:NADPH oxidoreductase
811,1.5.1.40,7.0,9,"pH 7.0: about 60% of maximal activity, pH 9.0: about 50% of maximal activity, reduction of NADP+ with reduced coenzyme F420",Archaeoglobus fulgidus,O29370,724135,{'reduced coenzyme F420 + NADP+'},{'oxidized coenzyme F420 + NADPH + H+'},{'reduction of NADP+ with reduced coenzyme F420'},oxidation,reduced coenzyme F420 + NADP+,,,,{'reduced coenzyme F420 + NADP+'},oxidation,"{'NADP+', 'reduced coenzyme F420'}",8-hydroxy-5-deazaflavin:NADPH oxidoreductase
838,1.6.3.3,5.0,8,"pH 5.0: about 50% of maximal activity, pH 8.0: about 50% of maximal activity",Archaeoglobus fulgidus,O29794,722179,{'NADH + H+ + O2'},{'NAD+ + H2O2'},"{nan, '-'}",,,,,,{'NADH + H+ + O2'},oxidation_or_reduction,"{'NADH', 'H+', 'O2'}",NADH oxidase (H2O2-forming)
841,1.6.3.3,6.5,9,"pH 6.5: about 55% of maximal activity, pH 9.0: about 55% of maximal activity",Archaeoglobus fulgidus,O29794,722179,{'NADH + H+ + O2'},{'NAD+ + H2O2'},"{nan, '-'}",,,,,,{'NADH + H+ + O2'},oxidation_or_reduction,"{'NADH', 'H+', 'O2'}",NADH oxidase (H2O2-forming)
839,1.6.3.3,5.0,8,"pH 5.0: about 50% of maximal activity, pH 8.0: about 50% of maximal activity",Archaeoglobus fulgidus,O29985,722179,{'NADH + H+ + O2'},{'NAD+ + H2O2'},"{nan, '-'}",,,,,,{'NADH + H+ + O2'},oxidation_or_reduction,"{'NADH', 'H+', 'O2'}",NADH oxidase (H2O2-forming)
842,1.6.3.3,6.5,9,"pH 6.5: about 55% of maximal activity, pH 9.0: about 55% of maximal activity",Archaeoglobus fulgidus,O29985,722179,{'NADH + H+ + O2'},{'NAD+ + H2O2'},"{nan, '-'}",,,,,,{'NADH + H+ + O2'},oxidation_or_reduction,"{'NADH', 'H+', 'O2'}",NADH oxidase (H2O2-forming)
3817,1.1.1.284,6.4,9.3,50% of maximal activity at pH 6.4 and at pH 9.3,Komagataella pastoris,O74685,80989,"{'S-formylglutathione + H2O', 'formaldehyde + glutathione + NAD+'}","{'glutathione + formate', 'S-formylglutathione + NADH + H+'}",{nan},,,,,,"{'S-formylglutathione + H2O', 'formaldehyde + glutathione + NAD+'}",oxidation,"{'H2O', 'formaldehyde', 'NAD+', 'S-formylglutathione', 'glutathione'}",S-(hydroxymethyl)glutathione dehydrogenase
3820,1.1.1.284,7.0,9,"pH 7.0: about 55% of maximal activity, pH 9.0: about 90% of maximal activity",Komagataella pastoris,O74685,287867,"{'S-formylglutathione + NADH', 'methylglyoxal + glutathione + NAD+', 'formaldehyde + glutathione + NAD+'}","{'S-formylglutathione + NADH + H+', 'formaldehyde + glutathione + NAD+', 'S-pyruvylglutathione + NADH'}",{nan},,,,,,"{'S-formylglutathione + NADH', 'methylglyoxal + glutathione + NAD+', 'formaldehyde + glutathione + NAD+'}",oxidation_or_reduction,"{'formaldehyde', 'NAD+', 'methylglyoxal', 'NADH', 'S-formylglutathione', 'glutathione'}",S-(hydroxymethyl)glutathione dehydrogenase
52,1.1.1.184,4.0,,15% of maximum activity,Homo sapiens,O75828,688959,"{'cortisol + NADPH + H+', 'menadione + NADPH', '4-oxonon-2-enal + NADPH + H+', '4-benzoylpyridine + NADPH + H+', 'mitroxantrone + NADPH + H+', 'glutathione-4-oxonon-2-enal + NADPH + H+', 'menadione + NADPH + H+', 'naphthazarin + NADPH + H+', 'oracin + NADPH + H+', '4-nitrobenzaldehyde + NADPH + H+', 'doxorubicin + NADPH + H+', 'daunorubicin + NADPH + H+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone + NADPH + H+', '4-nitrobenzaldehyde + NADPH'}","{'20beta-dihydrocortisol + NADP+', '(S)-alpha-phenyl-4-pyridylmethanol + NADP+', '?', '1-hydroxynon-2-en-4-one + NADP+', 'doxorubicinol + NADP+', 'glutathione-4-hydroxynon-2-enal + NADP+', '? + NADP+', '4-nitrobenzylalcohol + NADP+', '4-hydroxynon-2-enal + NADP+', '4-oxononanal + NADP+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanol + NADP+', '4-nitrobenzyl alcohol + NADP+', 'dihydrooracin + NADP+', 'daunorubicinol + NADP+'}","{nan, '-'}",,,,,,"{'cortisol + NADPH + H+', 'menadione + NADPH', '4-oxonon-2-enal + NADPH + H+', '4-benzoylpyridine + NADPH + H+', 'mitroxantrone + NADPH + H+', 'glutathione-4-oxonon-2-enal + NADPH + H+', 'menadione + NADPH + H+', 'naphthazarin + NADPH + H+', 'oracin + NADPH + H+', '4-nitrobenzaldehyde + NADPH + H+', 'doxorubicin + NADPH + H+', 'daunorubicin + NADPH + H+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone + NADPH + H+', '4-nitrobenzaldehyde + NADPH'}",reduction,"{'daunorubicin', 'mitroxantrone', 'H+', 'glutathione-4-oxonon-2-enal', 'naphthazarin', 'cortisol', 'doxorubicin', 'oracin', '4-nitrobenzaldehyde', '4-benzoylpyridine', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone', '4-oxonon-2-enal', 'menadione', 'NADPH'}",carbonyl reductase (NADPH)
55,1.1.1.184,8.0,,35% of maximum activity,Homo sapiens,O75828,688959,"{'cortisol + NADPH + H+', 'menadione + NADPH', '4-oxonon-2-enal + NADPH + H+', '4-benzoylpyridine + NADPH + H+', 'mitroxantrone + NADPH + H+', 'glutathione-4-oxonon-2-enal + NADPH + H+', 'menadione + NADPH + H+', 'naphthazarin + NADPH + H+', 'oracin + NADPH + H+', '4-nitrobenzaldehyde + NADPH + H+', 'doxorubicin + NADPH + H+', 'daunorubicin + NADPH + H+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone + NADPH + H+', '4-nitrobenzaldehyde + NADPH'}","{'20beta-dihydrocortisol + NADP+', '(S)-alpha-phenyl-4-pyridylmethanol + NADP+', '?', '1-hydroxynon-2-en-4-one + NADP+', 'doxorubicinol + NADP+', 'glutathione-4-hydroxynon-2-enal + NADP+', '? + NADP+', '4-nitrobenzylalcohol + NADP+', '4-hydroxynon-2-enal + NADP+', '4-oxononanal + NADP+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanol + NADP+', '4-nitrobenzyl alcohol + NADP+', 'dihydrooracin + NADP+', 'daunorubicinol + NADP+'}","{nan, '-'}",,,,,,"{'cortisol + NADPH + H+', 'menadione + NADPH', '4-oxonon-2-enal + NADPH + H+', '4-benzoylpyridine + NADPH + H+', 'mitroxantrone + NADPH + H+', 'glutathione-4-oxonon-2-enal + NADPH + H+', 'menadione + NADPH + H+', 'naphthazarin + NADPH + H+', 'oracin + NADPH + H+', '4-nitrobenzaldehyde + NADPH + H+', 'doxorubicin + NADPH + H+', 'daunorubicin + NADPH + H+', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone + NADPH + H+', '4-nitrobenzaldehyde + NADPH'}",reduction,"{'daunorubicin', 'mitroxantrone', 'H+', 'glutathione-4-oxonon-2-enal', 'naphthazarin', 'cortisol', 'doxorubicin', 'oracin', '4-nitrobenzaldehyde', '4-benzoylpyridine', '4-methylnitrosamino-1-(3-pyridyl)-1-butanone', '4-oxonon-2-enal', 'menadione', 'NADPH'}",carbonyl reductase (NADPH)
4024,1.14.13.9,7.0,9,about 50% of maximal activity at pH 7 and 9,Rattus norvegicus,O88867,348531,{'L-kynurenine + NADPH + O2'},{'3-hydroxy-L-kynurenine + NADP+ + H2O'},"{nan, 'fusion protein with glutathione-S-transferase'}",,,,,,{'L-kynurenine + NADPH + O2'},oxidation_or_reduction,"{'L-kynurenine', 'O2', 'NADPH'}",kynurenine 3-monooxygenase
4025,1.14.13.9,7.0,9.3,about 50% of maximal activity at pH 7 and 9.3,Rattus norvegicus,O88867,348515,"{'L-kynurenine + NADPH + H+ + O2', 'kynurenine + NADPH + O2', 'L-kynurenine + NADPH + O2', 'o-hydroxybenzoyl-DL-alanine + NADPH + O2'}","{'? + NADP+', '3-hydroxy-L-kynurenine + NADP+ + H2O', '3-hydroxy-kynurenine + NADP+ + H2O'}","{nan, '-'}",,,,,,"{'L-kynurenine + NADPH + H+ + O2', 'kynurenine + NADPH + O2', 'L-kynurenine + NADPH + O2', 'o-hydroxybenzoyl-DL-alanine + NADPH + O2'}",oxidation_or_reduction,"{'o-hydroxybenzoyl-DL-alanine', 'H+', 'kynurenine', 'L-kynurenine', 'O2', 'NADPH'}",kynurenine 3-monooxygenase
4081,1.14.99.1,6.5,9,"about 70% of maximum activity at pH 6.0 and 9.0 of prostaglandin E2 formation, about 50% of maximum activity at pH 6.0 and 9.0 of prostaglandin F2alpha formation",Oryctolagus cuniculus,O97554,438389,{'arachidonic acid + reduced acceptor + O2'},{'prostaglandin H2 + acceptor + H2O'},"{'prostaglandin F2alpha formation', 'prostaglandin E2 formation', 'formation of prostaglandin F2alpha', 'formation of prostaglandin E2 and D2'}",,,,,,{'arachidonic acid + reduced acceptor + O2'},oxidation_or_reduction,"{'reduced acceptor', 'O2', 'arachidonic acid'}",prostaglandin-endoperoxide synthase
4083,1.14.99.1,7.2,9,about 60% of maximum activity at pH 7.2 and 9.0 of prostaglandin D2 formation,Oryctolagus cuniculus,O97554,438389,{'arachidonic acid + reduced acceptor + O2'},{'prostaglandin H2 + acceptor + H2O'},"{'of prostaglandin D2 formation', 'formation of prostaglandin F2alpha', 'formation of prostaglandin E2 and D2'}",,,,,,{'arachidonic acid + reduced acceptor + O2'},oxidation_or_reduction,"{'reduced acceptor', 'O2', 'arachidonic acid'}",prostaglandin-endoperoxide synthase
4276,1.5.1.3,4.2,5.6,half-maximal activities at pH 4.2 and pH 5.6,Homo sapiens,P00374,392271,"{'7,8-dihydrofolate + NADPH', 'folate + NADPH', '7,8-dihydrofolate + NADPH + H+'}","{'5,6,7,8-tetrahydrofolate + NADP+'}",{'es at pH 4.2 and pH 5.6'},,,,,,"{'7,8-dihydrofolate + NADPH', 'folate + NADPH', '7,8-dihydrofolate + NADPH + H+'}",reduction,"{'folate', 'H+', '7,8-dihydrofolate', 'NADPH'}",dihydrofolate reductase
4279,1.5.1.3,5.0,9,activity at pH 9 is 8% of the activity at pH 5,Homo sapiens,P00374,655633,"{'7,8-dihydrofolate + NADPH'}","{'5,6,7,8-tetrahydrofolate + NADP+'}",{'activity at pH 9 is'},,,,,,"{'7,8-dihydrofolate + NADPH'}",reduction,"{'NADPH', '7,8-dihydrofolate'}",dihydrofolate reductase
3896,1.1.1.85,7.5,11.5,about 75% of maximal activity at pH 7.5 and 11.5,Saccharomyces cerevisiae,P04173,639147,"{'(2R,3S)-3-isopropylmalate + NAD+'}",{'2-oxoisocaproate + NADH + H+ + CO2'},{nan},,,,,,"{'(2R,3S)-3-isopropylmalate + NAD+'}",oxidation,"{'NAD+', '(2R,3S)-3-isopropylmalate'}",3-isopropylmalate dehydrogenase
3897,1.1.1.85,8.0,10.1,"pH 8.0: 75% of maximal activity, pH 8.9-10.1: optimum",Saccharomyces cerevisiae,P04173,639134,"{'(2R,3S)-3-isopropylmalate + NAD+'}",{'2-oxoisocaproate + NADH + H+ + CO2'},{nan},,,,,,"{'(2R,3S)-3-isopropylmalate + NAD+'}",oxidation,"{'NAD+', '(2R,3S)-3-isopropylmalate'}",3-isopropylmalate dehydrogenase
4237,1.4.1.13,6.4,9,at pH 6.4 and 9.0 about 50% of activity maximum,Escherichia coli,P09831,391438,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},{'L-glutamate + NADP+'},{'at pH 6.4 and 9.0 maximum'},,,,,,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},reduction,"{'H+', 'NADPH', 'L-glutamine', '2-oxoglutarate'}",glutamate synthase (NADPH)
4239,1.4.1.13,6.5,8.7,at pH 6.5 and 8.7 about 50% of activity maximum,Escherichia coli,P09831,391438,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},{'L-glutamate + NADP+'},{'at pH 6.5 and 8.7 maximum'},,,,,,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},reduction,"{'H+', 'NADPH', 'L-glutamine', '2-oxoglutarate'}",glutamate synthase (NADPH)
4238,1.4.1.13,6.4,9,at pH 6.4 and 9.0 about 50% of activity maximum,Escherichia coli,P09832,391438,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},{'L-glutamate + NADP+'},{'at pH 6.4 and 9.0 maximum'},,,,,,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},reduction,"{'H+', 'NADPH', 'L-glutamine', '2-oxoglutarate'}",glutamate synthase (NADPH)
4240,1.4.1.13,6.5,8.7,at pH 6.5 and 8.7 about 50% of activity maximum,Escherichia coli,P09832,391438,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},{'L-glutamate + NADP+'},{'at pH 6.5 and 8.7 maximum'},,,,,,{'L-glutamine + 2-oxoglutarate + NADPH + H+'},reduction,"{'H+', 'NADPH', 'L-glutamine', '2-oxoglutarate'}",glutamate synthase (NADPH)
4106,1.2.1.12,5.5,9,"pH 5.5: about 50% of maximal activity, pH 9.0: about 55% of maximal activity, cytosolic enzyme",Trypanosoma brucei,P10097,287901,{'D-glyceraldehyde 3-phosphate + phosphate + NAD+'},{'3-phospho-D-glyceroyl phosphate + NADH'},"{'cytosolic enzyme', '-'}",oxidation,,,,,{'D-glyceraldehyde 3-phosphate + phosphate + NAD+'},oxidation,"{'D-glyceraldehyde 3-phosphate', 'phosphate', 'NAD+'}",glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
4109,1.2.1.12,7.0,9,"about 40% of maximal activity at pH 7.0 and at pH 9.0, glyoxysomal enzyme",Trypanosoma brucei,P10097,287901,{'D-glyceraldehyde 3-phosphate + phosphate + NAD+'},{'3-phospho-D-glyceroyl phosphate + NADH'},"{', glyoxysomal enzyme', '-'}",oxidation,,,,,{'D-glyceraldehyde 3-phosphate + phosphate + NAD+'},oxidation,"{'D-glyceraldehyde 3-phosphate', 'phosphate', 'NAD+'}",glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
4275,1.5.1.3,4.0,7.5,"wild-type, more than 60% of maximum activity",Plasmodium falciparum,P13922,687184,"{'7,8-dihydrofolate + NADPH + H+'}","{'5,6,7,8-tetrahydrofolate + NADP+'}","{'wild-type,'}",,,,,,"{'7,8-dihydrofolate + NADPH + H+'}",reduction,"{'NADPH', 'H+', '7,8-dihydrofolate'}",dihydrofolate reductase
35,1.1.1.145,7.4,,52% of maximal activity,Homo sapiens,P14060,656091,"{'pregnenolone + NAD+', 'dehydroepiandrosterone + NAD+', 'DELTA5-3beta-hydroxysteroid + NAD+', 'epiandrosterone + NAD+', '17alpha-hydroxypregnenolone + NAD+', '5-pregnen-3beta-ol-2-one + NAD+', 'pregnenolone + NAD(P)+'}","{'17alpha-hydroxy-pregn-5-en-3,20-dione + NADH', '?', 'pregn-5-en-3,20-dione + NAD(P)H + H+', 'androst-5-en-3,17-dione + NADH + H+', 'pregn-5-en-3,20-dione + NADH + H+', '5alpha-androstan-3,17-dione + NADH + H+', 'progesterone + NADH + H+', 'DELTA4-3-oxosteroid + NADH + H+', 'progesterone + NADH'}",{nan},,,,,,"{'pregnenolone + NAD+', 'dehydroepiandrosterone + NAD+', 'DELTA5-3beta-hydroxysteroid + NAD+', 'epiandrosterone + NAD+', '17alpha-hydroxypregnenolone + NAD+', '5-pregnen-3beta-ol-2-one + NAD+', 'pregnenolone + NAD(P)+'}",oxidation,"{'17alpha-hydroxypregnenolone', 'dehydroepiandrosterone', '5-pregnen-3beta-ol-2-one', 'NAD(P)+', 'DELTA5-3beta-hydroxysteroid', 'pregnenolone', 'NAD+', 'epiandrosterone'}",3beta-hydroxy-DELTA5-steroid dehydrogenase
3758,1.1.1.145,7.4,9.7,37% of maximal activity at pH 7.4,Homo sapiens,P14060,656577,{'dehydroepiandrosterone + NAD+'},"{'androst-5-en-3,17-dione + NADH + H+'}",{nan},,,,,,{'dehydroepiandrosterone + NAD+'},oxidation,"{'dehydroepiandrosterone', 'NAD+'}",3beta-hydroxy-DELTA5-steroid dehydrogenase
4322,1.7.3.3,7.4,9.6,"50% of activity maximum at pH 7.4 and pH 9.6, free enzyme",Sus scrofa,P16164,394156,{'urate + O2 + H2O'},{'5-hydroxyisourate + H2O2'},"{'maximum at pH 7.4 and pH 9.6, free enzyme', 'free enzyme', 'immobilized enzyme'}",,,,,,{'urate + O2 + H2O'},oxidation,"{'H2O', 'O2', 'urate'}",factor-independent urate hydroxylase
4228,1.4.1.1,7.0,10,"pH 7.0: about 50% of maximal activity, pH 10.0: about 50% of maximal activity, oxidative deamination of L-Ala",Lysinibacillus sphaericus,P17556,349537,"{'L-Ala + H2O + NAD+', 'oxaloacetate + NH3 + NADH', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}","{'L-Asp + H2O + NAD+', '2-aminobutanoate + H2O + NAD+', 'pyruvate + NH3 + NADH', '2-oxobutanoate + NH3 + NADH + H+', 'L-Ser + H2O + NAD+'}",{'oxidative deamination of L-Ala'},reduction,pyruvate + NH3 + NADH,,,,"{'L-Ala + H2O + NAD+', 'oxaloacetate + NH3 + NADH', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}",oxidation_or_reduction,"{'H2O', 'L-Ala', 'L-2-aminobutanoate', '3-hydroxypyruvate', 'NH3', 'oxaloacetate', 'NADH', 'NAD+', '2-oxobutanoate'}",alanine dehydrogenase
4231,1.4.1.1,8.0,11,"pH 8.0: about 50% of maximal activity, pH 11.0: about 95% of maximal activity, reductive amination of pyruvate",Lysinibacillus sphaericus,P17556,349537,"{'L-Ala + H2O + NAD+', 'oxaloacetate + NH3 + NADH', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}","{'L-Asp + H2O + NAD+', '2-aminobutanoate + H2O + NAD+', 'pyruvate + NH3 + NADH', '2-oxobutanoate + NH3 + NADH + H+', 'L-Ser + H2O + NAD+'}",{'reductive amination of pyruvate'},oxidation,L-alanine + NAD+ + H2O,,,,"{'L-Ala + H2O + NAD+', 'oxaloacetate + NH3 + NADH', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', '3-hydroxypyruvate + NH3 + NADH'}",oxidation_or_reduction,"{'H2O', 'L-Ala', 'L-2-aminobutanoate', '3-hydroxypyruvate', 'NH3', 'oxaloacetate', 'NADH', 'NAD+', '2-oxobutanoate'}",alanine dehydrogenase
4230,1.4.1.1,7.8,10.2,"pH 7.8: 54% of activity maximum, pH 10.2: 72% of activity maximum, reductive amination of pyruvate",Geobacillus stearothermophilus,P17557,349536,"{'L-norvaline + H2O + NAD+', 'L-alanine + NAD+ + H2O', 'L-Ser + H2O + NAD+', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', 'L-Ala + H2O + NAD+'}","{'pyruvate + NH3 + NADH + H+', '2-aminobutanoate + H2O + NAD+', 'pyruvate + NH3 + NADH', '2-oxobutanoate + NH3 + NADH + H+', '3-hydroxypyruvate + NH3 + NADH', '2-oxopentanoate + NH3 + NADH'}","{'maximum,  maximum, reductive amination of pyruvate'}",reduction,pyruvate + NH3 + NADH,,,,"{'L-norvaline + H2O + NAD+', 'L-alanine + NAD+ + H2O', 'L-Ser + H2O + NAD+', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', 'L-Ala + H2O + NAD+'}",oxidation_or_reduction,"{'H2O', 'L-Ala', 'L-2-aminobutanoate', 'L-alanine', 'NH3', 'L-Ser', 'L-norvaline', 'NADH', 'NAD+', '2-oxobutanoate'}",alanine dehydrogenase
4235,1.4.1.1,9.3,11.8,"pH 9.3: about 55% of activity maximum, pH 11.8: about 63% of activity maximum, oxidative deamination",Geobacillus stearothermophilus,P17557,349536,"{'L-norvaline + H2O + NAD+', 'L-alanine + NAD+ + H2O', 'L-Ser + H2O + NAD+', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', 'L-Ala + H2O + NAD+'}","{'pyruvate + NH3 + NADH + H+', '2-aminobutanoate + H2O + NAD+', 'pyruvate + NH3 + NADH', '2-oxobutanoate + NH3 + NADH + H+', '3-hydroxypyruvate + NH3 + NADH', '2-oxopentanoate + NH3 + NADH'}","{'maximum,  maximum, oxidative deamination'}",oxidation,,,,,"{'L-norvaline + H2O + NAD+', 'L-alanine + NAD+ + H2O', 'L-Ser + H2O + NAD+', 'L-2-aminobutanoate + H2O + NAD+', '2-oxobutanoate + NH3 + NADH', 'L-Ala + H2O + NAD+'}",oxidation_or_reduction,"{'H2O', 'L-Ala', 'L-2-aminobutanoate', 'L-alanine', 'NH3', 'L-Ser', 'L-norvaline', 'NADH', 'NAD+', '2-oxobutanoate'}",alanine dehydrogenase
